\datem\exp_data\captex\captex4.txt           
year mn dy  shr  dur   lat     lon    pmch  stn
1983 10 16 0900 0600 44.27  -71.30      .0  106
1983 10 16 0900 0600 44.93  -72.20      .0  108
1983 10 16 1200 0600 43.07  -76.83      .0  710
1983 10 16 1200 0600 41.27  -73.80      .0  904
1983 10 16 1500 0600 41.83  -75.87      .0  706
1983 10 16 1500 0600 44.90  -73.80      .0   10
1983 10 16 1500 0600 45.98  -74.00      .0   52
1983 10 16 1500 0600 44.27  -71.30      .0  106
1983 10 16 1500 0600 44.93  -72.20      .0  108
1983 10 16 1800 0600 43.07  -76.83      .0  710
1983 10 16 2100 0600 41.83  -75.87      .0  706
